Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Austin Wells*,24,C,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,.229,.322,.395,.718,104,.318,104,140,9,5,1,7,0,*2H/D,ROY-3,wellsau01
2,Anthony Rizzo*,34,1B,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,.228,.301,.335,.637,82,.297,88,113,7,9,0,2,0,3/H,,rizzoan01
3,Gleyber Torres,27,2B,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,.257,.330,.378,.709,102,.318,103,222,6,3,2,8,0,*4/H,,torregl01
4,Anthony Volpe,23,SS,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,.243,.293,.364,.657,86,.296,84,232,9,4,2,3,1,*6/H,,volpean01
5,Oswaldo Cabrera#,25,3B,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,.247,.296,.365,.661,88,.300,90,109,6,1,2,3,0,5H34/6791,,cabreos01
6,Alex Verdugo*,28,LF,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,.233,.291,.356,.647,84,.288,81,199,14,1,2,10,0,*79/8,,verdual01
7,Aaron Judge,32,CF,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,.322,.458,.701,1.159,225,.484,223,392,22,9,0,2,20,*8D/97,ASMVP-1SS,judgeaa01
8,Juan Soto*,25,RF,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,.288,.419,.569,.989,179,.424,179,328,10,4,0,4,2,*9/7DH,ASMVP-3SS,sotoju01
9,Giancarlo Stanton,34,DH,0.7,114,459,417,49,97,20,0,27,72,0,0,38,143,.233,.298,.475,.773,116,.330,112,198,17,2,0,2,2,*D/H,,stantmi03
10,Jose Trevino,31,C,0.6,73,234,209,26,45,5,0,8,28,1,0,20,41,.215,.288,.354,.642,82,.287,80,74,12,2,1,2,0,2/H1,,trevijo01
11,DJ LeMahieu,35,CI,-1.6,67,228,201,19,41,5,0,2,26,0,1,19,35,.204,.269,.259,.527,52,.244,51,52,13,1,1,6,0,35/H,,lemahdj01
12,Trent Grisham*,27,CF,0.4,76,209,179,21,34,8,0,9,31,1,1,22,57,.190,.290,.385,.675,91,.306,95,69,5,4,1,2,1,8H/D,,grishtr01
13,Jazz Chisholm Jr.*,26,3B,1.5,46,191,176,28,48,7,0,11,23,18,2,14,45,.273,.325,.500,.825,131,.373,130,88,2,0,0,1,0,5/8,,chishja01
14,Ben Rice*,25,1B,-0.4,50,178,152,20,26,6,0,7,23,0,1,20,48,.171,.264,.349,.613,73,.275,74,53,2,1,0,5,0,3/H2,,ricebe01
15,Jon Berti,34,3B,0.6,25,74,66,10,18,0,0,1,6,5,1,6,14,.273,.342,.318,.661,91,.334,108,21,2,1,1,0,0,5/H47D,,bertijo01
16,Jasson Domínguez#,21,OF,-0.1,18,67,56,8,10,1,0,2,4,5,0,11,19,.179,.313,.304,.617,78,.315,88,17,0,0,0,0,0,7/8HD,,dominja01
17,Jahmai Jones,26,UT,0.0,33,47,42,8,10,1,1,1,4,1,1,2,16,.238,.304,.381,.685,94,.293,89,16,0,2,1,0,0,H/9D745,,jonesja08
18,J.D. Davis,31,1B,-0.2,7,22,19,1,2,1,0,0,1,0,0,3,9,.105,.227,.158,.385,13,.191,12,3,2,0,0,0,0,/3DH,,davisjd01
19,Carlos Narváez,25,C,0.1,6,15,13,0,3,0,0,0,0,0,0,2,6,.231,.333,.231,.564,66,.270,69,3,0,0,0,0,0,/2H,,narvaca01
20,Oswald Peraza,24,3B,0.1,4,11,10,2,2,0,0,1,1,0,0,1,3,.200,.273,.500,.773,114,.329,110,5,0,0,0,0,0,/5,,perazos02
21,Taylor Trammell*,26,OF,-0.1,5,2,1,2,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,475,.790,435,1,0,0,0,0,0,/H79D,,trammta01
22,Duke Ellis*,26,DH,0.1,3,1,1,0,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,475,1.142,536,1,0,0,0,0,0,/H7,,ellisdu01
23,Kevin Smith,27,DH,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/HD,,smithke05
,Team Totals,,,30.4,162,6245,5450,815,1352,243,15,237,782,88,26,672,1326,.248,.333,.429,.761,115,.338,116,2336,138,49,14,57,26,,,-9999
